Geneid	SRR9126859	SRR9126934	SRR9127010	SRR9127157	SRR9127293	SRR9127296	SRR9127369	SRR9127396
ENSMUSG00000099692.2	8	5	6	3	5	0	9	18
ENSMUSG00000140384.1	4	0	0	5	2	1	5	11
ENSMUSG00000124412.1	6	0	4	0	4	1	0	5
ENSMUSG00000100418.2	21	6	27	1	3	1	2	21
ENSMUSG00000128972.1	6	22	20	9	7	2	0	15
ENSMUSG00000135509.1	1	5	9	0	0	0	0	13
ENSMUSG00000041670.20	86	96	138	59	45	18	53	164
ENSMUSG00000097642.2	8	4	9	3	4	0	8	13
ENSMUSG00000131366.1	1	3	3	2	4	0	3	6
ENSMUSG00000141541.1	7	2	0	1	2	0	2	7
ENSMUSG00000128277.1	3	4	0	0	0	0	0	0
ENSMUSG00000101468.2	0	14	3	0	0	0	3	9
ENSMUSG00000101227.3	26	46	35	14	12	0	7	71
ENSMUSG00000073730.3	2	16	3	4	2	20	0	31
ENSMUSG00000141721.1	19	16	36	1	5	0	9	26
ENSMUSG00000141755.1	16	4	5	4	1	2	0	17
ENSMUSG00000089553.3	2	1	1	2	1	0	0	6
ENSMUSG00000102766.2	0	4	6	5	0	2	0	1
ENSMUSG00000134304.1	106	157	166	47	119	22	68	208
ENSMUSG00000065405.5	0	0	0	0	1	0	0	0
ENSMUSG00000097970.2	2	7	3	0	7	0	5	8
ENSMUSG00000065567.3	0	0	0	0	0	0	0	0
ENSMUSG00000100775.2	3	2	0	0	1	0	0	0
ENSMUSG00000133147.1	2	16	3	0	1	0	0	7
ENSMUSG00000101226.2	6	4	8	2	5	1	9	13
ENSMUSG00000026158.12	401	1108	511	575	2274	175	533	843
ENSMUSG00000138593.1	21	12	38	8	7	0	11	33
ENSMUSG00000097920.2	10	18	24	10	3	1	8	38
ENSMUSG00000099503.3	31	35	31	1	9	0	9	32
ENSMUSG00000142633.1	0	0	4	0	6	2	0	4
ENSMUSG00000026156.9	43	42	54	61	55	6	29	114
ENSMUSG00000026155.14	202	367	230	227	599	66	273	324
ENSMUSG00000141937.1	3	6	8	1	3	0	0	9
ENSMUSG00000141893.1	13	25	15	0	2	3	6	19
ENSMUSG00000026154.5	43	87	28	46	132	21	67	67
ENSMUSG00000102495.2	9	3	0	4	6	0	6	12
ENSMUSG00000026153.16	161	312	304	134	198	43	173	344
ENSMUSG00000143955.1	0	0	0	1	0	0	0	0
ENSMUSG00000102398.2	14	13	29	7	9	2	4	22
ENSMUSG00000122847.1	30	44	71	11	23	3	12	27
ENSMUSG00000097670.2	12	25	42	9	6	0	7	21
ENSMUSG00000026147.17	89	71	87	45	34	88	33	111
ENSMUSG00000026141.14	125	80	126	62	87	17	36	213
ENSMUSG00000125396.1	16	18	21	9	9	1	7	23
ENSMUSG00000125434.1	7	11	8	1	2	0	6	3
ENSMUSG00000077463.3	0	0	2	1	2	0	0	0
ENSMUSG00000099997.2	13	21	14	5	9	2	4	15
ENSMUSG00000100131.2	6	7	11	0	5	1	10	9
ENSMUSG00000067736.3	2	3	8	6	4	0	2	6
ENSMUSG00000138098.1	0	0	0	0	0	0	0	0
ENSMUSG00000101939.2	0	0	0	0	0	0	0	0
ENSMUSG00000101111.2	4	30	6	17	29	7	29	29
ENSMUSG00000100862.2	4	21	2	7	17	6	25	34
ENSMUSG00000102070.2	1	16	5	6	15	2	15	3
ENSMUSG00000101249.2	11	22	11	11	23	0	15	29
ENSMUSG00000127021.1	2	1	0	2	1	1	3	6
ENSMUSG00000073725.9	438	950	535	413	1552	204	578	832
